obj_1,obj_2,obj_3,odd,reason_for_similarity
D-Day,Operation Barbarossa,Manhattan Project,Manhattan Project,"D-Day and Operation Barbarossa were military operations, but the Manhattan Project was a research and development project"
Scapula,Clavicle,Sternum,Sternum,Clavicle and Scapula are both part of the shoulder girdle.
Cognitive Dissonance,Stockholm Syndrome,Bipolar Disorder,Bipolar Disorder,Stockholm Syndrome and Cognitive Dissonance are psychological responses to conflicting situations
James K. Polk,John Tyler,Abraham Lincoln,Abraham Lincoln,John Tyler and James K. Polk were both presidents during the era of Manifest Destiny.
Lobster,Jellyfish,Sea Cucumber,Lobster,Sea Cucumber and Jellyfish are both types of marine invertebrates
Persian Empire,Maurya Empire,Mayan Civilization,Mayan Civilization,Maurya and Persian Empires both originated in Asia
Plesiosaur,Mosasaur,Woolly rhinoceros,Woolly rhinoceros,Plesiosaur and Mosasaur are both marine reptiles
King Louis XVI,Robert Morris,John Hancock,King Louis XVI,Both were financiers of the American Revolution
Hadrian,Trajan,Constantine,Constantine,Hadrian and Trajan are from the Nerva-Antonine dynasty
Cyborg,Black Adam,Hawkman,Black Adam,Hawkman and Cyborg are male heroes
Saxophone,Lute,Harpsichord,Saxophone,Lute and Harpsichord are both musical instruments played during the Renaissance
The Lion Man of the Hohlenstein Stadel,The Sumerian King List,The Code of Hammurabi,The Lion Man of the Hohlenstein Stadel,The Sumerian King List and The Code of Hammurabi are both inscribed on stone
The Milkmaid,The Last Supper,The Arnolfini Portrait,The Milkmaid,The Last Supper and The Arnolfini Portrait are both paintings from the 15th century
Delphi,Rome,Olympia,Rome,Both are sacred sites in ancient Greece
Glorious Revolution,French Revolution,Industrial Revolution,Industrial Revolution,Glorious and French revolutions overthrew monarchs
Collective Unconscious,Archetypes,Conditioned Stimulus,Conditioned Stimulus,Collective Unconscious and Archetypes are concepts from Carl Jung's theory
Divergent,The Catcher in the Rye,The Hunger Games,The Catcher in the Rye,The Hunger Games and Divergent are both dystopian young adult novels
Chandler Bing,Joey Tribbiani,Ross Geller,Ross Geller,Joey and Chandler are roommates
Scotland Yard,221B,Baker Street,Scotland Yard,Baker Street and 221B are related to Sherlock Holmes's residence
Ancient Egypt,Ancient Sumer,Ancient China,Ancient China,Ancient Sumer and Egypt both used a form of script for writing
The Arnolfini Portrait,The Persistence of Memory,Guernica,The Arnolfini Portrait,The Persistence of Memory and Guernica are both paintings from the 20th century
Caligula,Nero,Marcus Aurelius,Marcus Aurelius,Nero and Caligula are known for their tyranny
Versailles,Morristown,Valley Forge,Versailles,Both were winter encampments during the revolution
Eli Whitney,Henry Ford,Karl Benz,Eli Whitney,Benz and Ford both contributed to automobile industry
Heraldry,Coat of Arms,Flag,Flag,Heraldry and Coat of Arms are personal symbols
Creme Brulee,Mochi,Tempura Ice Cream,Creme Brulee,Mochi and Tempura Ice Cream are both Japanese desserts.
Chives,Cloves,Scallions,Cloves,Chives and Scallions are both types of onions.
Census,Redistricting,Gerrymandering,Census,Gerrymandering and Redistricting both involve manipulation of electoral districts
Skinner's Box,Maslow's Hierarchy of Needs,Pavlov's Dogs,Maslow's Hierarchy of Needs,Pavlov's Dogs and Skinner's Box are examples of behaviorism
HMS Hood,U-boat,Bismarck,HMS Hood,"U-boat and Bismarck were German naval vessels, but HMS Hood was a British battlecruiser"
The Persistence of Memory,American Gothic,The Birth of Venus,American Gothic,The Birth of Venus and The Persistence of Memory are both Surrealist paintings
"Heart of Atlanta Motel, Inc. v. United States",Loving v. Virginia,Roe v. Wade,Roe v. Wade,"Loving v. Virginia and Heart of Atlanta Motel, Inc. v. United States were both landmark civil rights cases"
Macbeth,The Decameron,The Divine Comedy,Macbeth,The Decameron and The Divine Comedy were both written in Italian.
Miami Dolphins,Chicago Bears,Green Bay Packers,Miami Dolphins,Both are teams from the NFC North.
Carolina Panthers,Jacksonville Jaguars,Cincinnati Bengals,Cincinnati Bengals,Both have a big cat in their logo.
Hulk,Iron Man,War Machine,Hulk,War Machine and Iron Man both wear suits of armor
Kickboxing,Aikido,Savate,Aikido,Savate and Kickboxing both involve kick strikes
Anna Karenina,War and Peace,Pride and Prejudice,Pride and Prejudice,War and Peace and Anna Karenina are both written by Leo Tolstoy
The Great Sphinx,Winged Victory of Samothrace,Christ the Redeemer,Winged Victory of Samothrace,Christ the Redeemer and The Great Sphinx are both religious monuments
Photosynthesis,Mitosis,Meiosis,Photosynthesis,Mitosis and Meiosis are both types of Cell Division
The Entombment,The Scream,The Coronation of the Virgin,The Scream,The Entombment and The Coronation of the Virgin are both works by Raphael
Romanticism,The Enlightenment,Neoclassicism,Romanticism,The Enlightenment and Neoclassicism influenced the French Revolution
Rey,Padmé Amidala,Leia Organa,Rey,Padmé and Leia are both members of the Royal family
The Terror of War,The Burning Monk,The Hindenburg Disaster,The Terror of War,The Burning Monk and The Hindenburg Disaster both depict fire-related tragedies
Charizard,Pikachu,Totoro,Totoro,Pikachu and Charizard are from the same show.
Chord Progression,Time Change,Key Change,Time Change,Chord Progression and Key Change involve harmony
Borgia Family,Medici Family,Tudor Family,Tudor Family,Medici Family and Borgia Family are both influential Italian families during the Renaissance
Superman,Martian Manhunter,Batman,Batman,Martian Manhunter and Superman are aliens
Nerva,Trajan,Nero,Nero,Nerva and Trajan are from the Nerva-Antonine dynasty
Seattle Seahawks,Philadelphia Eagles,Denver Broncos,Seattle Seahawks,Both have a bird in their logo.
Cyprus,Malta,Crete,Malta,Cyprus and Crete are both in the Mediterranean Sea.
Treaty of Westphalia,Treaty of Tordesillas,Magna Carta,Magna Carta,Treaty of Tordesillas and Westphalia redrew borders
DNA,Lipid,Protein,DNA,Proteins and Lipids are both Macromolecules
Philadelphia Eagles,Houston Texans,Dallas Cowboys,Philadelphia Eagles,Both have a star in their logo.
Jackson Pollock,Andy Warhol,Mark Rothko,Andy Warhol,Jackson Pollock and Mark Rothko were abstract expressionists
Silicon,Carbon,Phosphorus,Phosphorus,Carbon and Silicon are both elements in Group 14 (Carbon Group)
Napoleon,Winston Churchill,Hitler,Winston Churchill,Napoleon and Hitler were both dictators
Chromium,Niobium,Vanadium,Chromium,Vanadium and Niobium are both elements in Group 5 (Vanadium Group)
Tusken Raiders,Wookiees,Ewoks,Tusken Raiders,Ewoks and Wookiees are both forest-dwelling species
Kansas City Chiefs,San Francisco 49ers,Miami Dolphins,Miami Dolphins,Both played in Super Bowl 54.
The Sunshine Skyway Bridge,The Tacoma Narrows Bridge,The Bosphorus Bridge,The Bosphorus Bridge,The other two are in the United States
Sunflower,Dandelion,Rose,Rose,Dandelion and Sunflower are both from the Asteraceae family
Kanji,Latin,Hangul,Latin,Hangul and Kanji are East Asian scripts
The Rama VIII Bridge,The Peace Bridge,The High Bridge,The Peace Bridge,The other two are cable-stayed bridges
Constantine,Julian,Claudius,Claudius,Constantine and Julian embraced Christianity
Morcilla,Chorizo,Black Pudding,Chorizo,Morcilla and Black Pudding are both types of blood sausage
Sous-vide,Baking,Poaching,Baking,Sous-vide and Poaching both involve cooking in liquid at low temperatures.
Cartagena ,Buenos Aires,Cordoba,New York,Both are in Argentina
Oak,Larch,Tamarack,Oak,Larch and Tamarack are both deciduous conifers
Maria Hill,Nick Fury,Thor,Thor,Nick Fury and Maria Hill are both non-superpowered S.H.I.E.L.D. agents
Grant Wood,Georgia O'Keeffe,Edvard Munch,Grant Wood,Edvard Munch and Georgia O'Keeffe were known for their symbolic and emotional content
Ginger,Cilantro,Coriander,Ginger,Coriander and Cilantro come from the same plant.
Darth Maul,General Grievous,Kylo Ren,General Grievous,Kylo Ren and Darth Maul are both Sith apprentices
Werner Heisenberg,Max Planck,Isaac Newton,Isaac Newton,Heisenberg and Planck were quantum physicists
Augustus,Valentinian I,Valens,Augustus,Valentinian I and Valens ruled together
Sao Paulo,Santiago,Rio de Janeiro,Santiago,The other two are in Brazil
John Wilkes Booth,Lewis Powell,Lee Harvey Oswald,Lee Harvey Oswald,The first two were involved in Lincoln's assassination during the American Civil War
Chicago Bulls,LA Lakers,Indiana Pacers,LA Lakers,Both are based in the Central Division
Battle of Jemappes,Battle of Waterloo,Battle of Valmy,Battle of Waterloo,Battle of Valmy and Battle of Jemappes were both French victories
Marigold,Maple,Daisy,Maple,Marigold and Daisy are both annual flowers
Richard P. Feynman,Desmond Tutu,Julian Schwinger,Desmond Tutu,Richard P. Feynman and Julian Schwinger won the Nobel Prize in Physics
Thar,Kalahari,Atacama,Kalahari,Both Thar and Atacama are subtropical deserts
The Buckingham Palace,The St. Peter's Basilica,The Windsor Castle,The St. Peter's Basilica,The others are British royal residences
Machine Gun,Mustard Gas,Atomic Bomb,Atomic Bomb,Mustard Gas and Machine Gun were weapons used in World War I
Han Period,Edo Period,Meiji Restoration,Han Period,Meiji Restoration and Edo Period are Japanese historical periods
Bob Dylan,Carl Wieman,Gabriel Garcia Marquez,Carl Wieman,Gabriel Garcia Marquez and Bob Dylan won the Nobel Prize in Literature
Vera Rubin,Gregor Mendel,Carl Sagan,Gregor Mendel,Rubin and Sagan were astronomers
Pumice,Sandstone,Obsidian,Sandstone,Obsidian and Pumice are volcanic rocks.
Katana,Pilum,Gladius,Katana,"Gladius and Pilum were Roman weapons, Katana is a Japanese weapon"
Paul Bocuse,Joël Robuchon,Rick Bayless,Rick Bayless,Paul Bocuse and Joël Robuchon are both French chefs.
Aragorn,Legolas,Gimli,Gimli,Aragorn and Legolas are not dwarves
Eagle,Stork,Ibis,Eagle,Ibis and Stork both have long legs
Moussaka,Souvlaki,Enchiladas,Enchiladas,Both are traditional Greek dishes
The Parthenon,The Acropolis,The Colosseum,The Colosseum,"The other two are in Athens, Greece"
Black Mamba,Green Anaconda,Reticulated Python,Black Mamba,Anaconda and Python are non-venomous snakes
Pine,Apple Blossom,Cherry Blossom,Pine,Cherry Blossom and Apple Blossom are both fruit trees
Nicolaus Copernicus,Thomas Edison,Galileo Galilei,Thomas Edison,Galileo and Copernicus were astronomers
Snake,Bat,Owl,Snake,Owls and Bats are both Nocturnal Animals
Spinning Jenny,Cotton Gin,Gutenberg's Printing Press,Gutenberg's Printing Press,Spinning Jenny and Cotton Gin are used for cotton processing
Pierre Gagnaire,Alain Ducasse,Emeril Lagasse,Emeril Lagasse,Pierre Gagnaire and Alain Ducasse are both French chefs.
Magnesium,Calcium,Aluminum,Aluminum,Magnesium and Calcium are both elements in Group 2 (Alkaline Earth Metals)
Iris,Cornea,Retina,Retina,Iris and Cornea are both external parts of the eye.
Jello,Chocolate Eclair,Cream Puff,Jello,Chocolate Eclair and Cream Puff are both filled with cream.
Battle of the Somme,Battle of Waterloo,Battle of Verdun,Battle of Waterloo,The other two battles were fought during World War I
Ruby Bridges,Jimi Hendrix,James Meredith,Jimi Hendrix,James Meredith and Ruby Bridges were both pioneers in desegregation
Rialto Bridge,Millau Viaduct,Ponte Vecchio,Millau Viaduct,The other two are pedestrian bridges
Seoul,Hanoi,Phnom Penh,Seoul,Hanoi and Phnom Penh are both capitals in countries that have a communist government.
Eowyn,Galadriel,Arwen,Eowyn,Arwen and Galadriel are elves
Dark Energy,Dark Matter,Antimatter,Antimatter,Dark Matter and Dark Energy are unknown forms of matter/energy
Willow,Cedar,Poplar,Cedar,Willow and Poplar both grow near water
Voltaire,Patrick Henry,Thomas Paine,Voltaire,The other two were American revolutionary thinkers
Karl Benz,George Stephenson,Rudolf Diesel,George Stephenson,Diesel and Benz both contributed to the development of engines
Pigeon,Dove,Falcon,Falcon,Pigeon and Dove are both pigeons
The Old Man and the Sea,Moby Dick,War and Peace,War and Peace,The Old Man and the Sea and Moby Dick are both about man's struggle with nature
Millard Fillmore,Franklin Pierce,Ronald Reagan,Ronald Reagan,Millard Fillmore and Franklin Pierce were both presidents before the Civil War.
Mary Cassatt,Joshua Reynolds,Thomas Gainsborough,Mary Cassatt,Thomas Gainsborough and Joshua Reynolds were English portrait painters
Hawkeye,Captain Marvel,Cyclops,Captain Marvel,Cyclops and Hawkeye are expert marksmen
Elba,Sardinia,Corsica,Elba,Corsica and Sardinia are both in the Mediterranean Sea.
Mehen,Shabti,Senet,Shabti,Senet and Mehen are both ancient Egyptian board games.
The Night Watch,Madonna of the Meadow,The Annunciation,The Night Watch,Madonna of the Meadow and The Annunciation are both works by Raphael
Blitzkrieg,Operation Overlord,Kamikaze,Operation Overlord,"Blitzkrieg and Kamikaze were tactics, but Operation Overlord was a strategy"
Poaching,Simmering,Grilling,Grilling,Poaching and Simmering both involve cooking in liquid.
Loki,Thanos,Thor,Thanos,Thor and Loki are both Asgardian
Bard,Minstrel,Knight,Knight,Minstrel and Bard are entertainers
Bifur,Bombur,Beorn,Beorn,Bombur and Bifur are dwarves
Great Blue Hole,Mariana Trench,Dead Sea,Dead Sea,Mariana Trench and Great Blue Hole are both underwater sinkholes
Sandstone,Basalt,Andesite,Sandstone,Basalt and Andesite are extrusive rocks.
Nitrogen,Phosphorus,Sulfur,Sulfur,Nitrogen and Phosphorus are both elements in Group 15 (Pnictogens)
Trifle,Pecan Pie,Pumpkin Pie,Trifle,Pumpkin Pie and Pecan Pie are both traditional American pies.
Siberian Tiger,Bengal Cat,Bengal Tiger,Bengal Cat,"Tigers are wild animals, Bengal Cat is domestic"
Photon,Neutrino,Electron,Electron,Neutrino and Photon are neutral particles
Johnny Depp,Helena Bonham Carter,Orlando Bloom,Orlando Bloom,"Johnny Depp and Helena Bonham Carter starred in ""Sweeney Todd"""
Augustus,Macrinus,Elagabalus,Augustus,Macrinus and Elagabalus are from the Severan dynasty
Waltz,Capoeira,Samba,Waltz,Capoeira and Samba are both Brazilian in origin
Beethoven,Vivaldi,Bach,Beethoven,Vivaldi and Bach were both from the Baroque period
Braising,Sauteing,Stewing,Sauteing,Braising and Stewing both involve cooking slowly in liquid.
Commodity,Stock,Bond,Commodity,Stocks and Bonds are types of securities
Vespasian,Marcus Aurelius,Antoninus Pius,Vespasian,Antoninus Pius adopted Marcus Aurelius
James Madison,Abraham Lincoln,Thomas Jefferson,Abraham Lincoln,Thomas Jefferson and James Madison were both presidents from the Democratic-Republican Party.
Nightcrawler,Firestorm,Captain Atom,Nightcrawler,Captain Atom and Firestorm can manipulate energy
Ernest McCulloch,Francis Crick,James Watson,Ernest McCulloch,Crick and Watson discovered DNA structure
Emu,Kiwi,Pelican,Pelican,Kiwi and Emu are both flightless birds
Simmering,Grilling,Boiling,Grilling,Simmering and Boiling both involve cooking in hot water/gravy
Chestnut,Fir,Walnut,Fir,Chestnut and Walnut both produce edible nuts
Owl,Hawk,Parrot,Parrot,Owl and Hawk are both birds of prey
Maple,Pine,Fir,Maple,Pine and Fir are both evergreen trees
Diplodocus,Brontosaurus,Microceratus,Microceratus,Brontosaurus and Diplodocus are both long-necked dinosaurs
Madrid,Cairo,Johannesburg,Madrid,Both are in Africa
Rockies,Himalayas,Mount Apo,Rockies,Mount Apo and Himalayas are in Asia
Teak,Mahogany,Fir,Fir,Teak and Mahogany are both hardwood trees
Gobi,Mojave,Atacama,Mojave,Both Atacama and Gobi have significant temperature variations
Chlorine,Argon,Fluorine,Argon,Fluorine and Chlorine are both elements in Group 17 (Halogens)
Mufasa,Baloo,Simba,Baloo,Simba and Mufasa are from the Jungle book
Jupiter,Neptune,Saturn,Neptune,Jupiter and Saturn have rings
Syncopation,On-beat,Off-beat,On-beat,Syncopation and Off-beat involve unexpected rhythm
Palm,Redwood,Sequoia,Palm,Sequoia and Redwood are both coniferous trees
